city,order_p,order_d,order_q,aic,r2,rmse,mae,n,variance,r2_undefined
Bhiwani,2,1,2,478.12791949057817,-5.058817735298422,6.304345106385334,2.0561032646757074,45,6.559822222222222,False
Bhojpur,1,1,2,444.9525689216862,0.3225126574687571,3.185514470114936,2.6242993468779754,45,14.978143209876544,False
Bhopal,2,1,2,451.78375934445023,0.7135195063202513,1.5813624910279445,1.3128205649903681,45,8.729066666666666,False
Bid,2,1,2,468.7221313797626,0.7429230579486796,1.4170008897027264,1.130895928250087,45,7.810469135802469,False
Bidar,2,1,1,403.46998076043496,0.6750113596598037,1.1908398580498603,0.919385856344861,45,4.363535802469135,False
Bijapur,0,1,2,437.09782918699744,0.6151688198560181,1.295805004007678,0.9786367923266235,45,4.363239506172839,False
Bijnor,2,1,2,421.8484518254759,0.7085171469969757,1.2624120951856037,1.0192438321540709,45,5.467506172839506,False
Bikaner,1,1,1,484.6360729655161,0.618766746558552,1.3739597551752134,1.1266618413619487,45,4.951733333333332,False
Bilaspur,0,1,1,406.917933741619,0.66316438024046,1.7253458995769257,1.3585272922764164,45,8.837600000000002,False
Bishnupur,0,1,1,476.84939273363295,0.6898905006915638,1.9142096837208895,1.5367346746023258,45,11.815822222222222,False
Biswanath,2,1,2,415.04998042979616,0.6916576520245932,1.2957985427342702,1.0615974228727374,45,5.445550617283949,False
Bokaro,0,1,0,438.91454969689437,0.6970415646891811,1.8845571245137556,1.5555555555555551,45,11.722913580246912,False
Bongaigaon,2,1,0,339.0735960629279,0.6249050733969012,1.1221639883307146,0.8449011830859205,45,3.3571555555555546,False
Budaun,0,1,1,481.1767025554788,0.5910028046791507,1.9975426497449826,1.49042464651585,45,9.756,False
Buddha Gaya,0,1,1,540.730636834061,0.568849480490155,2.2688005680703607,1.8443057524633029,45,11.938883950617285,False
Bulandshahr,2,1,2,422.31906778916584,0.7811081692627304,1.5211336930205934,1.1822975210495044,45,10.570735802469136,False
Buldana,1,1,1,399.11072651002,0.7688718551784057,1.2805066374858989,1.0107366474518247,45,7.094320987654319,False
Bundi,1,1,1,466.1048704331789,0.7322754034275814,1.3439448631139417,1.0862509716939883,45,6.746439506172841,False
Burhanpur,1,1,1,407.66910997968495,0.7736434913169092,1.3310965956978806,1.0488211762281385,45,7.827555555555558,False
Buxar,1,1,0,449.2648092883573,0.731336746313288,1.7810963073338786,1.4055986343777565,45,11.807733333333335,False
Chamba,2,1,2,421.2739745561371,0.480283831119628,1.923312716024863,1.4901892849101523,45,7.1176,False
Chamoli,2,1,1,475.0781349172004,-0.06063369694173826,2.085148418951134,1.701948081827275,45,4.099288888888889,False
Champawat,0,1,0,349.9270800243132,0.5964746772591857,1.343874994186587,0.9711111111111111,45,4.475555555555554,False
Chandauli,1,1,0,428.8476019052108,0.7888441704517902,1.5785764618343778,1.2692085643633824,45,11.801254320987656,False
Chandel,1,1,1,318.3961570799172,0.5706581365970138,0.830156899190676,0.651947971713392,45,1.6051555555555561,False
Chandigarh,0,1,2,418.43046084319235,0.49178580501539937,1.8106936494842196,1.3945763218202265,45,6.45123950617284,False
Chandrapur,2,1,2,421.2990075066208,0.6263617456705632,1.650898810460727,1.2634654657064315,45,7.2943999999999996,False
Chatra,2,1,2,548.6956080871657,0.5479388151684419,2.3805609142933504,1.9483318503834226,45,12.536069135802473,False
Chennai,0,1,2,401.7962428386602,0.39494212527364325,0.9525888217499412,0.7761014664847046,45,1.499733333333333,False
Chhatarpur,0,1,1,472.8975750359542,0.7916429349293242,1.549933610163489,1.2246148515362663,45,11.5296987654321,False
Chhindwara,1,1,1,386.1458189780941,0.744330088460561,1.3891466134489219,1.1458713757444874,45,7.547733333333334,False
Chikmagalur,1,1,1,396.37493920849414,0.1557531840512575,0.9298210081583527,0.6575670861366979,45,1.0240691358024696,False
Chitradurga,1,1,1,431.5797421578429,0.42922012713743507,1.1229943385556476,0.7861528400418349,45,2.2094617283950617,False
Chittaurgarh,2,1,1,417.59939224541796,0.7271347857477546,1.1996768484628495,0.9552155383252202,45,5.274488888888889,False
Chittoor,1,1,1,419.8526652709817,0.625796448344976,0.8215503273592876,0.6410713244476929,45,1.8036839506172846,False
