city,n_rows,temp_nunique,temp_unique_ratio,temp_max_run,temp_variance,hum_nunique,hum_unique_ratio,hum_max_run,hum_variance
Jhansi,179,110,0.6145251396648045,2,24.578513155020133,65,0.36312849162011174,2,306.0806466714522
Jhargram,180,98,0.5444444444444444,2,13.837733333333333,64,0.35555555555555557,3,415.5733333333333
Jharsuguda,180,96,0.5333333333333333,2,11.319624691358026,64,0.35555555555555557,3,369.0275000000001
Jhunjhunun,180,118,0.6555555555555556,2,40.066808333333334,58,0.32222222222222224,3,231.17219135802472
Jind,180,113,0.6277777777777778,2,37.33733333333333,61,0.3388888888888889,3,316.9497222222222
Jodhpur,180,99,0.55,2,23.91348024691358,61,0.3388888888888889,2,315.2944135802469
Jorhat,180,98,0.5444444444444444,2,16.452655555555555,45,0.25,5,186.00802469135803
Junagadh,180,79,0.4388888888888889,2,5.475388580246913,72,0.4,3,525.7813580246913
Kadapa,180,81,0.45,2,6.133099999999999,44,0.24444444444444444,2,132.62358024691355
Kaithal,180,113,0.6277777777777778,3,36.33387777777778,62,0.34444444444444444,3,330.6697222222222
Kakching,180,98,0.5444444444444444,2,23.347672839506174,42,0.23333333333333334,5,161.67111111111112
Kancheepuram,180,13,0.07222222222222222,5,2.1211283950617283,11,0.06111111111111111,7,34.22256172839506
Kangpokpi,180,101,0.5611111111111111,3,26.565929320987653,41,0.22777777777777777,4,162.0272839506173
Kangra,179,101,0.5642458100558659,2,14.553789831778031,59,0.329608938547486,2,252.95727349333663
Kanker,165,87,0.5272727272727272,3,10.21129109274564,59,0.3575757575757576,3,339.6071258034894
Kannauj,180,118,0.6555555555555556,2,31.67951728395062,63,0.35,3,287.3906172839506
Kanniyakumari,180,37,0.20555555555555555,3,0.940222222222222,31,0.17222222222222222,3,44.098117283950614
Kannur,180,32,0.17777777777777778,3,0.508410802469136,27,0.15,3,35.67194444444445
Kanpur,186,90,0.4838709677419355,3,10.78855619146722,44,0.23655913978494625,5,124.79569892473118
Kantha,188,34,0.18085106382978725,7,37.096639882299684,33,0.17553191489361702,6,169.600837483024
Kapurthala,180,39,0.21666666666666667,4,46.142521913580254,20,0.1111111111111111,15,177.90305555555554
Karaikal,180,44,0.24444444444444444,3,1.2018083333333331,28,0.15555555555555556,3,36.73691358024691
Karauli,180,109,0.6055555555555555,2,25.030735802469138,59,0.3277777777777778,3,311.0087654320987
Kargil,180,128,0.7111111111111111,3,100.80091944444445,63,0.35,2,312.45959876543213
Karimganj,180,107,0.5944444444444444,3,18.41285061728395,47,0.2611111111111111,4,179.98305555555555
Karimnagar,180,74,0.4111111111111111,3,5.24560987654321,66,0.36666666666666664,2,342.6733333333333
Karnal,180,113,0.6277777777777778,3,31.706011111111113,63,0.35,3,339.3363888888889
Karur,180,56,0.3111111111111111,6,3.042828395061729,34,0.18888888888888888,5,63.441080246913586
Kasaragod,180,13,0.07222222222222222,6,1.448344135802469,16,0.08888888888888889,5,66.96777777777778
Kathua,180,110,0.6111111111111112,3,28.446092283950616,60,0.3333333333333333,2,243.79444444444445
Katihar,180,121,0.6722222222222223,2,22.643920987654322,66,0.36666666666666664,2,353.6161728395062
Katni,180,25,0.1388888888888889,6,14.296013580246914,22,0.12222222222222222,7,61.160000000000004
Kavaratti,180,25,0.1388888888888889,3,0.28560339506172827,25,0.1388888888888889,3,27.127746913580246
Kendrapara,180,81,0.45,2,9.46638888888889,43,0.2388888888888889,4,141.37283950617282
Khagaria,180,114,0.6333333333333333,2,27.19211111111111,63,0.35,2,318.722561728395
Khammam,179,73,0.40782122905027934,2,5.360626072844169,38,0.2122905027932961,3,84.92962142255236
Khandwa,179,81,0.45251396648044695,2,6.049551512125089,71,0.39664804469273746,2,455.1630723135982
Khargone,180,78,0.43333333333333335,2,4.525808333333332,65,0.3611111111111111,3,496.36478395061727
Kheda,180,21,0.11666666666666667,5,11.315744135802467,45,0.25,7,229.1765432098765
Kheri,180,119,0.6611111111111111,3,28.170511111111107,67,0.37222222222222223,3,323.2906172839506
Khordha,180,24,0.13333333333333333,6,14.630654320987656,19,0.10555555555555556,6,59.8795061728395
Khowai,180,102,0.5666666666666667,3,17.310488888888887,51,0.2833333333333333,5,235.88922839506174
Khunti,180,39,0.21666666666666667,4,21.21974691358025,41,0.22777777777777777,5,209.19691358024687
Kishanganj,180,111,0.6166666666666667,3,19.870003395061726,67,0.37222222222222223,3,367.868024691358
Kishtwar,180,129,0.7166666666666667,2,38.990363888888886,67,0.37222222222222223,3,454.26777777777784
Koch Bihar,180,95,0.5277777777777778,2,14.548406172839506,70,0.3888888888888889,2,327.12654320987656
Kodarma,180,103,0.5722222222222222,3,21.40226265432099,58,0.32222222222222224,3,282.5299691358025
Kohima,180,102,0.5666666666666667,3,40.213188580246914,37,0.20555555555555555,4,92.78283950617285
Kokrajhar,180,100,0.5555555555555556,2,17.734299691358025,64,0.35555555555555557,4,317.8566358024691
Kolar,180,15,0.08333333333333333,8,2.6301416666666664,24,0.13333333333333333,6,142.02033950617286
Kolhapur,180,67,0.37222222222222223,2,3.626030555555555,61,0.3388888888888889,3,408.9475
Kolkata,235,26,0.11063829787234042,7,21.3376188320507,27,0.1148936170212766,8,93.05850611136259
Kollam,179,32,0.1787709497206704,5,1.8522936237945131,28,0.1564245810055866,5,37.04534814768578
Kondagaon,180,81,0.45,3,8.165536728395061,61,0.3388888888888889,2,350.37959876543215
Koppal,179,71,0.39664804469273746,3,3.7820392621953123,61,0.3407821229050279,3,354.89566492930936
Koraput,180,83,0.46111111111111114,3,6.057233333333333,56,0.3111111111111111,4,254.2722222222222
Korba,180,94,0.5222222222222223,2,13.084313580246913,70,0.3888888888888889,3,402.9624691358025
Kota,180,106,0.5888888888888889,2,20.861944444444443,65,0.3611111111111111,2,327.1870061728396
Kottayam,180,34,0.18888888888888888,3,2.4281469135802465,24,0.13333333333333333,6,49.83283950617284
Kozhikode,180,13,0.07222222222222222,8,1.6288580246913578,14,0.07777777777777778,4,79.00999999999999
Krishna,180,57,0.31666666666666665,4,3.0302543209876545,27,0.15,3,35.672098765432104
Krishnagiri,180,74,0.4111111111111111,2,4.4746700617283945,38,0.2111111111111111,3,97.67111111111113
Kulgam,180,115,0.6388888888888888,2,28.708506172839503,64,0.35555555555555557,3,391.83145061728396
Kupwara,180,119,0.6611111111111111,3,44.54343950617283,70,0.3888888888888889,4,420.15135802469143
Kurnool,180,74,0.4111111111111111,2,4.362608333333334,53,0.29444444444444445,3,178.04972222222224
Laful,8,7,0.875,1,0.22687499999999994,7,0.875,2,11.984375
Lakhimpur,180,117,0.65,2,27.321011111111112,69,0.38333333333333336,2,329.558024691358
Lakhisarai,180,116,0.6444444444444445,2,29.452929320987657,62,0.34444444444444444,2,302.9010802469135
Lalitpur,180,111,0.6166666666666667,2,20.942474999999998,66,0.36666666666666664,3,359.3536728395062
Latehar,179,107,0.5977653631284916,3,20.485738897038168,66,0.3687150837988827,3,396.4367529103336
Latur,180,79,0.4388888888888889,2,5.650333333333333,70,0.3888888888888889,2,464.81777777777774
Lawngtlai,179,99,0.553072625698324,2,17.339022502418775,54,0.3016759776536313,9,263.46687057207953
Leh,180,130,0.7222222222222222,3,72.68492932098765,64,0.35555555555555557,2,287.3077469135802
Lohardaga,180,96,0.5333333333333333,3,15.22796172839506,62,0.34444444444444444,3,321.5295061728395
Lucknow,180,31,0.17222222222222222,6,37.23751111111112,30,0.16666666666666666,5,155.2275
Ludhiana,179,117,0.6536312849162011,2,35.82041946256359,57,0.31843575418994413,3,307.53877844012356
Lunglei,179,103,0.5754189944134078,2,20.531042726506662,48,0.2681564245810056,6,255.18847726350612
Madhubani,180,116,0.6444444444444445,2,25.62155895061728,62,0.34444444444444444,2,313.7944135802469
Madurai,180,36,0.2,4,1.91082561728395,29,0.16111111111111112,7,63.61416666666666
Mahamaya,180,87,0.48333333333333334,3,13.261543209876542,57,0.31666666666666665,2,325.805524691358
Mahasamund,180,91,0.5055555555555555,2,9.137488888888889,67,0.37222222222222223,4,374.3719444444445
Mahe,180,32,0.17777777777777778,3,0.5753320987654321,29,0.16111111111111112,3,38.84987654320988
Mahendragarh,180,118,0.6555555555555556,2,43.6985737654321,64,0.35555555555555557,4,319.35543209876545
Mahesana,180,89,0.49444444444444446,3,14.132146913580245,59,0.3277777777777778,2,313.69811728395064
Mahoba,180,111,0.6166666666666667,2,27.11749228395062,66,0.36666666666666664,2,308.2698765432098
Mainpuri,180,113,0.6277777777777778,2,34.775624691358026,59,0.3277777777777778,3,266.07024691358026
Majuli,180,106,0.5888888888888889,3,17.44387777777778,46,0.25555555555555554,4,183.7870061728395
Malappuram,180,10,0.05555555555555555,8,1.757,15,0.08333333333333333,4,80.46666666666667
Maldah,179,107,0.5977653631284916,2,18.524909334914636,65,0.36312849162011174,3,390.62650978433874
Malkangiri,180,85,0.4722222222222222,2,7.425766666666666,53,0.29444444444444445,3,273.04305555555555
Mamit,180,112,0.6222222222222222,3,32.5168024691358,42,0.23333333333333334,13,185.35589506172838
Mancherial,179,80,0.44692737430167595,2,7.066627133984583,66,0.3687150837988827,2,401.8892668768141
Mandi,179,112,0.6256983240223464,2,23.509004712711835,67,0.3743016759776536,3,413.10402297056896
Mandla,180,93,0.5166666666666667,3,10.80632098765432,68,0.37777777777777777,3,456.1608333333334
Mandsaur,180,88,0.4888888888888889,2,10.650524691358024,65,0.3611111111111111,3,406.54256172839507
Mandya,180,67,0.37222222222222223,2,3.167124691358025,51,0.2833333333333333,2,237.9870061728395
Mansa,180,126,0.7,2,37.48564043209876,60,0.3333333333333333,3,338.77441358024686
Mathura,180,123,0.6833333333333333,3,41.1568950617284,63,0.35,2,353.2388888888889
Mau,179,120,0.6703910614525139,3,31.69206766330639,64,0.3575418994413408,3,320.6232015230486
Mayurbhanj,180,99,0.55,3,14.055497222222224,61,0.3388888888888889,2,319.83515432098767
Medak,180,81,0.45,3,6.153395061728394,60,0.3333333333333333,2,326.4822222222222
Medchal,179,18,0.1005586592178771,6,4.873610686308168,30,0.16759776536312848,4,133.33766112168783
Medinipur,185,96,0.518918918918919,3,12.776816946676405,63,0.34054054054054056,3,417.9899488677867
