city,order_p,order_d,order_q,aic,r2,rmse,mae,n,variance,r2_undefined
Fatehgarh Sahib,1,1,1,974.2695343636566,0.10649648010265078,18.70687472036182,13.010431411175283,45,391.6572839506173,False
Fatehpur,1,1,1,963.6801639045761,0.14772973152463809,17.192610260584292,12.233378220655409,45,346.8217283950617,False
Fazilka,1,1,1,989.6196348762141,0.4204841144593773,11.719940199556502,7.924321850406886,45,237.02024691358022,False
Firozabad,0,1,1,1039.8169047364165,0.053309948934610385,20.685454020608862,16.830641290446362,45,451.9832098765432,False
Firozpur,1,1,1,985.8084765436356,0.47576713683365446,13.359870710572192,8.389060224783409,45,340.47111111111104,False
Gadag,1,1,1,966.2373907506161,0.40827748346848636,7.659115833437215,5.655894446560798,45,99.1377777777778,False
Ganderbal,2,1,1,1039.7249218230415,0.4441333588490929,17.63788010576297,10.691353429364424,45,559.6572839506174,False
Gandhinagar,2,1,1,988.2515278915134,0.2828881570197769,12.692481514391929,10.246371309084498,45,224.64987654320987,False
Ganganagar,1,1,1,973.016792507639,0.21504552357694895,10.898432120528815,6.939742998240265,45,151.31555555555556,False
Ganjam,2,1,1,895.6357196391452,-615.7777510072588,192.20167688361175,32.83898074532161,45,59.894320987654325,False
Garhwa,1,1,1,950.7057860348807,0.20211881006766697,14.005930326767205,9.523873053945689,45,245.85876543209875,False
Garhwal,1,1,1,944.0988251668807,0.3310555904479754,13.619817949186782,10.507445111575581,45,277.30172839506173,False
Gariaband,2,1,1,905.4420683686753,0.1704465849034652,12.851976587509323,8.873847494506144,45,199.11111111111111,False
Gaya,2,1,1,1036.0422207441934,0.017766159831751116,10.379794726155316,7.756354589323019,45,109.68888888888888,False
Ghaziabad,1,1,1,1005.6644504984001,0.42555849051135697,13.533526859597849,9.664085224350716,45,318.8424691358024,False
Ghazipur,1,1,2,965.5878353200505,0.4153716610005497,12.285684571434814,8.734629144634285,45,258.1777777777778,False
Giridih,1,1,1,978.973758710019,0.08805684060748065,14.393685218725212,10.718785211067335,45,227.1832098765432,False
Goa,1,1,1,895.2236445525148,0.31563591947405534,4.684242339892551,3.73356069436249,48,32.06206597222222,False
Goalpara,1,1,1,834.8274032920513,0.3424482366402598,10.582302408345075,8.277577273508815,45,170.30617283950616,False
Godda,1,1,1,975.0352508032713,0.048295662841353115,14.5356438637415,9.858408133934855,45,222.00691358024693,False
Golaghat,1,1,1,733.5546114796858,0.17872562350744292,11.450658038642075,8.592350372212222,45,159.65135802469135,False
Gonda,1,1,1,956.6650426318711,0.22253150361350793,14.90838710932711,11.230493637801553,45,285.87654320987656,False
Gopalganj,2,1,1,923.1620776946756,0.3635992099973655,11.85227569174897,8.706473275370291,45,220.73580246913582,False
Gorakhpur,1,1,1,988.9243062822609,0.006658088954514585,19.039526641635092,11.721724927604566,45,364.93333333333334,False
Gulbarga,1,1,1,933.1020716473181,0.28775167864869267,7.08246250337419,4.542274492555379,45,70.42666666666665,False
Gumla,1,1,1,973.332293348082,0.0259728025294107,15.745551413955436,12.488459188148111,45,254.53333333333333,False
Guna,0,1,1,979.3812880236324,0.37087266699065435,9.447568320220189,6.901697050884635,45,141.87358024691355,False
Guntur,1,1,1,824.52457882255,-0.009292974295615153,6.006028647073462,4.6554862043599945,45,35.74024691358025,False
Gurdaspur,1,1,1,946.6784793249775,-0.08057104600782039,18.84969416407864,12.629146378377998,45,328.81777777777774,False
Gurgaon,2,1,1,1049.5951620940516,0.4174393496058745,13.751762875103573,10.056660296794087,45,324.6202469135802,False
Gwalior,2,1,2,1066.649938838025,-0.03530843570110975,25.221157700308144,20.81336046654139,45,614.4128395061728,False
Hailakandi,1,1,1,807.3922440990984,0.11503463704143246,10.797114849224583,7.824036927050259,45,131.73135802469136,False
Hamirpur,0,1,1,1009.7370087098669,0.13728291910451684,13.85048375593977,9.47735526134799,45,222.36246913580246,False
Hanumangarh,1,1,1,967.0674505411531,0.21919737547565776,11.664813359005882,7.275609479814675,45,174.26666666666668,False
Haora,0,1,1,995.9945253372869,0.0905322557417022,10.953400605408104,9.173846870568417,50,131.92,False
Hapur,0,1,2,974.1587931480956,0.3880958201396467,16.318407554920977,12.310410227255657,45,435.1832098765431,False
Harda,0,1,0,909.1738383828072,-0.4460524520658644,11.665714246838421,7.911111111111111,45,94.1106172839506,False
Hardoi,0,1,1,966.3551222522447,0.13444729927206434,14.241629212851812,10.586208269463027,45,234.32888888888888,False
Hardwar,1,1,1,886.9294267357757,0.3062403784574761,13.453203903260427,9.871807781339223,45,260.88098765432096,False
Hassan,2,1,2,924.9750414266884,0.330037979180854,12.561901352074493,9.675160233891145,45,235.5377777777778,False
Haveri,0,1,2,963.1664026124668,0.43068849824742894,10.660426672660792,8.95878659971963,45,199.61777777777777,False
Hazaribagh,1,1,1,997.3417273477558,-0.10629260101650062,16.213245395422852,12.679909445531413,45,237.61283950617286,False
Hingoli,1,1,0,892.841225935753,0.02708524441647764,6.076643666486092,4.55893257944998,45,37.95358024691359,False
Hisar,1,1,1,976.2917609164406,-0.08642654138100325,18.9453518810775,11.892090690493655,45,330.37333333333333,False
Hojai,0,1,2,735.3440889009476,0.1680748979169605,13.081135523240794,10.681861832032467,45,205.6869135802469,False
Hoshangabad,1,1,2,937.4504890454767,-0.2734121027135694,18.63527916166951,14.070345052281322,45,272.7111111111111,False
Hoshiarpur,1,1,1,915.066994911566,0.16289763161421655,14.210111897716299,9.408472335748437,45,241.22172839506166,False
Hugli,0,1,1,918.4730161892854,0.11260040415871297,10.33572132685842,7.877679554531048,45,120.38222222222223,False
Idukki,0,1,0,715.4795054240008,-0.3068981698732989,7.03641322771134,5.733333333333333,45,37.88444444444445,False
Imphal,1,1,1,816.6954421197498,0.0658100076075997,11.613712403125989,9.274602604527788,46,144.37996219281666,False
Indore,0,1,2,968.8441202139754,0.08185129655525558,9.150295473146567,6.576798335015436,45,91.1920987654321,False
Jabalpur,1,1,1,947.1062714763724,0.017803854441004185,12.737437420918049,8.93966634021571,45,165.18320987654323,False
Jagatsinghapur,1,1,1,906.3063220811837,0.13396926647409502,7.574534562580108,5.587775480157694,45,66.2488888888889,False
Jagtial,1,1,2,876.6650411986466,0.10841249550374887,9.892453916673484,7.383097970908352,45,109.76000000000002,False
Jaipur,0,1,1,1008.4680325488276,0.400167424211217,11.995683743544,9.364092524784382,45,239.89432098765428,False
Jaisalmer,1,1,1,966.2041792077962,0.2517311553601258,10.37521239306431,6.6372610300562025,45,143.85876543209875,False
Jalandhar,2,1,2,923.280182106404,0.1379487200707139,16.5483771992873,10.740596258604198,45,317.6711111111111,False
Jalaun,0,1,1,1003.937363559636,0.17803685839827765,14.006632597800758,9.499809755336868,45,238.67950617283947,False
Jalgaon,0,1,1,911.2707623852698,-0.09572003958101649,6.805880473633034,5.055406920016761,45,42.273580246913575,False
