city,n_train_cities,n_test_rows,temp_r2,temp_rmse,temp_mae,hum_r2,hum_rmse,hum_mae,temp_variance,hum_variance,temp_r2_undefined,hum_r2_undefined,temp_test_unique_ratio,temp_test_max_run
Harda,551,178,0.8542239310885869,1.0875848465066023,0.8149896697408282,0.8808140904903672,7.035069631490415,4.969875386837945,8.114094495644489,415.2521461936623,False,False,0.4943820224719101,2
Hardoi,551,178,0.9625823955077295,1.0896724101677009,0.8169827833979443,0.7525665432741105,8.390609697410795,6.121859472691921,31.733350587047095,284.53036232798894,False,False,0.7078651685393258,2
Hardwar,551,179,0.9679824254150912,0.8969731262494676,0.6833377542683287,0.8217501913978759,7.15545194956397,5.515759599114953,25.128723822602293,287.24009862363846,False,False,0.5810055865921788,3
Hassan,551,177,0.3286279655455603,1.0295993283534033,0.7793647508954059,0.6335878555024347,8.857930600942352,6.254741360323189,1.578967729579623,214.13846595805805,False,False,0.2994350282485876,2
Haveri,551,179,0.4716401325116636,1.2538492047045755,0.9242392263360818,0.7811876252894324,8.743204424721103,6.20308685992061,2.975505758247246,349.3569489092101,False,False,0.3743016759776536,3
Hazaribagh,551,179,0.9180032283541762,1.2215802377559057,0.8959820134136594,0.6798453361563034,9.414137094632544,6.7641325854864505,18.198988171405386,276.82238382072967,False,False,0.5754189944134078,3
Hingoli,551,178,0.7907821145952048,1.09231743152556,0.8095334955060121,0.9333518987873106,5.540748519803805,4.2963654794752815,5.70294154778437,460.6266885494255,False,False,0.4550561797752809,2
Hisar,551,179,0.9608544246580945,1.2178544321127835,0.9307254516428642,0.6483434098735119,10.0642542984743,7.2866648602370985,37.88855840953778,288.0344558534378,False,False,0.6983240223463687,2
Hojai,551,179,0.9335792989985965,1.0248656163979741,0.7233265280767244,0.8559317736295058,6.1950300900798725,4.209403946559226,15.813586966698916,266.39043725227054,False,False,0.5251396648044693,3
Hoshangabad,551,179,0.8624874475336003,1.1382262763871522,0.8232310864128322,0.7631995301411107,9.110218316097821,6.435233942554723,9.421387597141162,350.48949783090416,False,False,0.46368715083798884,4
Hoshiarpur,551,179,0.9601250469572019,1.1176608637169803,0.8216101089891725,0.7699975197173344,7.6688118022835585,5.129527066631865,31.32707905496083,255.6958272213726,False,False,0.6201117318435754,2
Hugli,551,179,0.9070181084665606,1.3916516077282022,1.0782881966005398,0.5844051196530261,6.029612865902985,4.527243379847069,20.828724446802536,87.47997877719173,False,False,0.12849162011173185,4
Idukki,551,178,0.4714069577857247,2.0926696812886605,1.4423526390887325,0.46353328991906806,4.3897393724528415,3.141416543848891,8.284759815679838,35.91986491604596,False,False,0.34831460674157305,3
Imphal,551,183,0.9430850702604934,1.2022554541194848,0.8622551067022004,0.7914970210080314,5.815522772734998,4.109939793803424,25.396116336707575,162.2053808713309,False,False,0.5519125683060109,3
Indore,551,179,0.7406648645247438,1.4137276617380032,1.1094682086440644,0.7284122947228509,8.2848691239506,6.395383454111484,7.706730127024749,252.73256140569893,False,False,0.2011173184357542,4
Jabalpur,551,179,0.878588894922821,1.2086905962643322,0.8950173020081821,0.8714431857427308,7.603543271936425,5.353631297267238,12.032943416247933,449.7145532286757,False,False,0.5083798882681564,2
Jagatsinghapur,551,179,0.8934063751788341,1.2325540693183952,0.9430206044902814,0.3482533544851931,6.3227255967686045,4.686331967255753,14.252161293342906,61.33803564183389,False,False,0.12849162011173185,6
Jagtial,551,179,0.8284012253886569,0.9975918802858275,0.7541565979489282,0.8887991238248367,6.839356115278274,5.29249778619436,5.799514372210606,420.6512905340033,False,False,0.46368715083798884,2
Jaipur,551,179,0.9236838529550815,1.5202888802272474,1.187154148469565,0.5335183267889186,10.070098970853524,8.039943683900658,30.28557348397366,217.38666084079773,False,False,0.1452513966480447,4
Jaisalmer,551,179,0.9307855414750309,1.3187334412390888,1.0007519883640021,0.7166407958841663,9.343995776248649,7.270754535746208,25.125644642801408,308.12571392902845,False,False,0.547486033519553,2
Jalandhar,551,179,0.9589656528503294,1.2138627230218342,0.8850318423515317,0.740613904756031,8.545442592047198,5.604505575000976,35.90803345713305,281.52854155613124,False,False,0.6815642458100558,2
Jalaun,551,179,0.9642816808619203,1.1155406405869899,0.850513137723914,0.7247636017539953,8.785292709402466,6.211970693206898,34.84013108205112,280.41846384320087,False,False,0.664804469273743,3
Jalgaon,551,179,0.8355498456918199,0.9277624275510311,0.7294642524470523,0.9297368798840117,5.646706147458952,4.361076752355709,5.234066976686121,453.7983833213695,False,False,0.46368715083798884,2
Jalna,551,179,0.7542299530387401,1.2844207697194445,0.9490114560435876,0.755880328041417,10.809356700243631,7.025272550299539,6.712521456883368,478.6266970444118,False,False,0.4245810055865922,4
Jalor,551,179,0.9257518851830393,1.1429206786486708,0.8566049718705391,0.840058795143717,7.818069427126416,5.760186726725032,17.59327736337817,382.15423988015357,False,False,0.5195530726256983,2
Jalpaiguri,551,179,0.9371591748513896,1.010535550834569,0.7479359221797215,0.8432807536941722,7.218243064562317,5.280202076940833,16.250297431416,332.4609718797791,False,False,0.5698324022346368,2
Jammu,551,179,0.9643747723699928,1.011132707175529,0.7677151753323381,0.8069297357113475,7.138351625451544,5.333654610859286,28.698465091601385,263.9249711307387,False,False,0.6256983240223464,2
Jamnagar,551,179,0.9317933272409155,0.7269971426376814,0.5487017995994887,0.7155240381490607,8.388886081906577,5.8969520239069215,7.748873006460472,247.37910801785213,False,False,0.43575418994413406,2
Jamtara,551,179,0.9101055814511065,1.1564975778947548,0.856306701522477,0.811490378396242,9.046670739972518,6.40193061400213,14.878417028182643,434.15423988015357,False,False,0.5195530726256983,3
Jamui,551,179,0.9361101898367178,1.230553144993566,0.8961097242233075,0.8207649803399073,7.836597341485279,5.945253385308064,23.701135420242814,342.6353734277956,False,False,0.6201117318435754,3
Jangaon,551,179,0.7214796052692293,1.144878369247996,0.8259002994086132,0.6168844377663651,9.455510157272956,6.796097057995522,4.706105926781311,233.36737305327551,False,False,0.4134078212290503,3
Janjgir,551,179,0.8535013623921429,1.1850246896101022,0.8404039924315984,0.8612459231592445,7.825789254072466,5.47964528422472,9.585642146000437,441.37785961736523,False,False,0.5195530726256983,3
Jashpur,551,179,0.9315644471228909,1.1480609433092606,0.828832148992014,0.7334546425838928,9.785274699172568,6.868219380261312,19.25963733965856,359.2319216004494,False,False,0.5977653631284916,2
